,,Most Common Lane,Champion Name,Medium Mastery Win Rate,High Mastery Win Rate,High Mastery Ratio,,,
,,Support,Milio,54.75%,low data,low data,,,
,,Middle,Azir,46.29%,51.05%,1.10,,High Mastery Ratio,
,,Jungle,Nunu & Willump,50.23%,55.05%,1.10,,If high:,Highest benefit to mastering
,,Jungle,Rengar,48.56%,52.93%,1.09,,If low:,Lowest benefit to mastering
,,Middle,Katarina,46.93%,51.00%,1.09,,,
,,Middle,Akali,46.56%,50.58%,1.09,,High Mastery:,100K+
,,Top,Darius,48.14%,51.97%,1.08,,Medium Mastery:,"10,000-100,000"
,,Jungle,Shaco,49.20%,53.10%,1.08,,,
,,Middle,Corki,48.15%,51.92%,1.08,,,
,,Middle,Ryze,48.78%,52.55%,1.08,,,
,,Middle,Qiyana,47.70%,51.32%,1.08,,,
,,Top,Gangplank,47.83%,51.33%,1.07,,,
,,Middle,Zoe,48.45%,52.00%,1.07,,,
,,Jungle,Kayn,50.10%,53.76%,1.07,,,
,,Middle,Kassadin,49.62%,53.24%,1.07,,,
,,Middle,Yone,48.97%,52.50%,1.07,,,
,,Jungle,Evelynn,50.49%,54.11%,1.07,,,
,,Middle,Zed,48.13%,51.56%,1.07,,,
,,Support,Pyke,48.80%,52.23%,1.07,,,
,,Middle,Talon,49.58%,52.98%,1.07,,,
,,Middle,Taliyah,49.00%,52.31%,1.07,,,
,,Jungle,Nidalee,48.74%,51.95%,1.07,,,
,,Jungle,Rek'Sai,50.67%,53.93%,1.06,,,
,,ADC,Kalista,47.50%,50.53%,1.06,,,
,,Top,Riven,48.90%,51.97%,1.06,,,
,,Top,Gwen,51.18%,54.39%,1.06,,,
,,ADC,Aphelios,47.77%,50.63%,1.06,,,
,,Middle,Irelia,49.46%,52.42%,1.06,,,
,,Jungle,Ivern,49.86%,52.83%,1.06,,,
,,Middle,Twisted Fate,48.96%,51.85%,1.06,,,
,,Jungle,Kindred,49.95%,52.84%,1.06,,,
,,Middle,LeBlanc,48.17%,50.93%,1.06,,,
,,Middle,Orianna,49.84%,52.67%,1.06,,,
,,Middle,Yasuo,48.19%,50.88%,1.06,,,
,,Top,Rumble,49.47%,52.22%,1.06,,,
,,Jungle,Master Yi,49.82%,52.59%,1.06,,,
,,ADC,Samira,50.47%,53.22%,1.05,,,
,,Jungle,Kha'Zix,49.70%,52.35%,1.05,,,
,,Jungle,Viego,50.46%,53.10%,1.05,,,
,,Support,Yuumi,49.29%,51.84%,1.05,,,
,,Middle,Syndra,50.69%,53.22%,1.05,,,
,,Top,Sett,50.09%,52.55%,1.05,,,
,,Jungle,Gragas,50.29%,52.56%,1.05,,,
,,Top,Jax,50.40%,52.61%,1.04,,,
,,Middle,Fizz,51.44%,53.70%,1.04,,,
,,Support,Alistar,50.45%,52.64%,1.04,,,
,,Top,Gnar,48.69%,50.79%,1.04,,,
,,Support,Rell,53.39%,55.65%,1.04,,,
,,Top,Aatrox,48.37%,50.38%,1.04,,,
,,Top,Camille,50.19%,52.26%,1.04,,,
,,Top,Jayce,50.56%,52.63%,1.04,,,
,,Top,Kennen,51.37%,53.46%,1.04,,,
,,Jungle,Lillia,52.57%,54.70%,1.04,,,
,,Top,Tryndamere,48.94%,50.89%,1.04,,,
,,ADC,Twitch,50.14%,52.14%,1.04,,,
,,Jungle,Hecarim,51.33%,53.34%,1.04,,,
,,Middle,Pantheon,51.20%,53.18%,1.04,,,
,,Support,Taric,52.26%,54.27%,1.04,,,
,,ADC,Draven,49.41%,51.31%,1.04,,,
,,Support,Thresh,49.99%,51.90%,1.04,,,
,,Middle,Vladimir,51.54%,53.50%,1.04,,,
,,ADC,Jhin,50.64%,52.52%,1.04,,,
,,Support,Karma,48.46%,50.25%,1.04,,,
,,Middle,Cassiopeia,52.92%,54.87%,1.04,,,
,,ADC,Kai'Sa,49.14%,50.95%,1.04,,,
,,Top,Mordekaiser,52.60%,54.52%,1.04,,,
,,ADC,Xayah,50.78%,52.60%,1.04,,,
,,ADC,Vayne,50.26%,52.03%,1.04,,,
,,Jungle,Warwick,51.08%,52.88%,1.04,,,
